date;name;isin;invested_capital;equity;cash
25.03.2017;passiv-momentum-12m;DE000LS9FGK0; 208560.78 ;1.0;0.0
25.03.2017;trend-select-prime;DE000LS9GCT8; 203088.92 ;0.99;0.01
25.03.2017;regel-nr-1-kein-geld-verlieren;DE000LS9DLQ2; 202905.07 ;0.99;0.01
25.03.2017;deutsche-immobilienaktien;DE000LS9BSM0; 202336.76 ;0.91;0.09
25.03.2017;top-pics-of-the-year;DE000LS9HYC6; 199630.33 ;1.0;-0.0
25.03.2017;pferde-in-form;DE000LS9KJ85; 185127.16 ;0.88;0.12
25.03.2017;tenbagger-sei-aufmerksam;DE000LS9CNZ1; 181808.18 ;0.92;0.08
25.03.2017;europa-finest-selection;DE000LS9CPX1; 180669.52 ;0.99;0.01
25.03.2017;mawero-effizienz2;DE000LS9FLR5; 172310.95 ;1.0;0.0
25.03.2017;trendstaerke-rangliste-deutschl;DE000LS9DVV1; 161423.03 ;0.52;0.48
25.03.2017;small-caps-on-stereoids;DE000LS9AET7; 150319.73 ;0.36;0.64
25.03.2017;qi-minimum-volatility-germany;DE000LS9J0X7; 149856.74 ;1.0;0.0
25.03.2017;germanallcap-fokus-nebenwerte;DE000LS9HGA7; 140532.20 ;0.89;0.12
25.03.2017;deutschl-analysten-empfehlungen;DE000LS9FKS5; 139522.04 ;1.0;0.0
25.03.2017;small-caps;DE000LS9AQL8; 134209.52 ;0.7;0.3
25.03.2017;stock-picking-nach-peter-lynch;DE000LS9CVN0; 129299.53 ;0.66;0.34
25.03.2017;wachstum-mit-substanz;DE000LS9CPJ0; 124170.86 ;0.65;0.35
25.03.2017;reversal-chancen;DE000LS9BRH2; 115871.07 ;0.11;0.89
25.03.2017;westfalian-alpha;DE000LS9ARA9; 112354.20 ;1.0;-0.0
25.03.2017;value-ansatz-mit-deutschen-aktien;DE000LS9APX5; 108417.13 ;0.68;0.32
25.03.2017;selectplus;DE000LS9ANN1; 106053.46 ;0.54;0.46
25.03.2017;chancen-vs-risiken-deutschland;DE000LS9AEZ4; 98803.23 ;0.75;0.25
25.03.2017;trend-select-small-caps;DE000LS9FQD4; 81562.23 ;1.0;0.0
25.03.2017;sunshine-trading;DE000LS9KKL0; 78241.97 ;0.82;0.18
25.03.2017;technotrading-deutsche-midcaps;DE000LS9BNV2; 64864.66 ;0.97;0.03
25.03.2017;relative-staerke-deu;DE000LS9KCL7; 61710.73 ;1.0;0.0
25.03.2017;nebenwerte-europa;DE000LS9HP25; 59214.12 ;1.0;-0.0
25.03.2017;all-in-001;DE000LS9JPN7; 56654.93 ;0.98;0.01
25.03.2017;nebenwerte-nach-checkliste;DE000LS9KB18; 52966.40 ;0.88;0.12
25.03.2017;aktien-alpha-bullenbrief;DE000LS9AZV8; 45991.64 ;1.0;0.0
25.03.2017;value-momentum-langfrist-aktien;DE000LS9AFX6; 45524.04 ;1.0;-0.01
25.03.2017;immobilien-palis-one;DE000LS9EHK1; 44909.11 ;1.0;0.0
25.03.2017;momentum-4;DE000LS9JGK2; 41492.72 ;1.0;-0.01
25.03.2017;anlage-nach-levermann-weltweit;DE000LS9KB91; 39926.18 ;0.97;0.03
25.03.2017;growth-opportunity;DE000LS9J3W3; 37795.80 ;0.97;0.03
25.03.2017;capital-blue;DE000LS9GSD8; 35392.23 ;0.37;0.63
25.03.2017;trendfolge-deutscher-mittelstand;DE000LS9KH20; 34994.33 ;0.98;0.02
25.03.2017;prime-all-share-trendfolge;DE000LS9GHU5; 33426.16 ;0.99;0.01
25.03.2017;aktienauswahl-nach-strategie;DE000LS9KBD6; 33248.72 ;0.84;0.16
25.03.2017;slide-special-trading-aktien;DE000LS9KRH3; 32313.10 ;1.0;0.0
25.03.2017;fundamental-quantitativ;DE000LS9KEH1; 31957.80 ;1.0;0.0
25.03.2017;apollo-20;DE000LS9EEC5; 31556.28 ;0.9;0.1
25.03.2017;gruenes-dach;DE000LS9AME2; 31488.67 ;0.71;0.29
25.03.2017;skyscraper-investments;DE000LS9GNW9; 30031.47 ;1.0;0.0
25.03.2017;outperformer-small-and-mid-caps;DE000LS9KB59; 29515.99 ;0.99;0.01
25.03.2017;world-wide-investment;DE000LS9CUG6; 29284.92 ;0.99;0.01
25.03.2017;europaeische-immobilien-werte;DE000LS9DAA9; 28843.63 ;01. Jan;-0.01
25.03.2017;nach-joel-greenblatt-modifiziert;DE000LS9KBC8; 28384.48 ;0.99;0.01
25.03.2017;deutschland-rsl;DE000LS9CAJ2; 28336.32 ;0.0;1.0
25.03.2017;nebenwerte-nach-checkliste-eu;DE000LS9KBW6; 27616.87 ;0.61;0.39
25.03.2017;quantitative-value-d-a-ch;DE000LS9KQX2; 26550.71 ;01. Jan;-0.01
25.03.2017;purkoninvest-deutschland;DE000LS9ADV5; 24228.47 ;0.94;0.06
25.03.2017;die-top-aktien-aus-deutschland;DE000LS9FFN6; 23966.46 ;1.0;-0.0
25.03.2017;dax-werte-minimum-varianz;DE000LS9AHC6; 23703.54 ;0.97;0.03
25.03.2017;infinite-german-value;DE000LS9JNL6; 22341.90 ;1.0;-0.0
