date;name;isin;invested_captial;equity;cash
2017-03-25;drf-internationale-aktien;DE000LS9AXA7; 10762.26 ;0.92;0.08
2017-03-25;dividend-aristocrats-s-p-werte;DE000LS9DCR9; 10446.01 ;0.99;0.01
2017-03-25;daten-das-oel-des-21-jhd;DE000LS9JSJ9; 10407.68 ;1.0;0.0
2017-03-25;trendsignaleusa;DE000LS9KKC9; 10365.34 ;0.93;0.07
2017-03-25;algo-trading;DE000LS9ETC3; 10203.05 ;0.97;0.03
2017-03-25;mpinvest-dividenden-trends;DE000LS9AZA2; 9909.20 ;1.0;-0.0
2017-03-25;aktien-internet-e-commerce;DE000LS9BLW4; 9288.50 ;0.58;0.42
2017-03-25;disruptive-innovation-balanced;DE000LS9JCE4; 9101.71 ;0.13;0.87
2017-03-25;weltweite-spezialitaeten;DE000LS9AYV1; 8700.52 ;1.0;-0.0
2017-03-25;quantenstein-junior;DE000LS9H440; 8589.40 ;0.99;0.01
2017-03-25;big-dogs-usa-10;DE000LS9AJR0; 8386.95 ;1.0;-0.01
2017-03-25;plainalpha-u-s-target-income;DE000LS9HLQ3; 8050.16 ;0.94;0.06
2017-03-25;halbleiter-technologien;DE000LS9KQN3; 8020.03 ;1.0;-0.0
2017-03-25;kgv-als-indikator;DE000LS9CMS8; 7946.48 ;0.8;0.2
2017-03-25;it-security;DE000LS9GKL8; 7791.10 ;0.83;0.17
2017-03-25;s-p500-werte-dividendenstrategie;DE000LS9DCM0; 7648.00 ;0.99;0.01
2017-03-25;divergent-trading;DE000LS9H8B8; 6909.74 ;0.94;0.06
2017-03-25;aggressive-technology;DE000LS9BJU2; 6504.58 ;0.75;0.25
2017-03-25;gute-kennzahlen-mit-robo-auswahl;DE000LS9KP79; 6433.39 ;0.94;0.06
2017-03-25;strategie-nach-levermann-us;DE000LS9KMV5; 6413.25 ;1.0;0.0
2017-03-25;3d-printing;DE000LS9ETT7; 6345.37 ;1.04;-0.04
2017-03-25;jaytrader;DE000LS9GTG9; 6077.29 ;1.0;-0.0
2017-03-25;performa-100;DE000LS9GFK0; 5974.35 ;1.02;-0.02
2017-03-25;investieren-wie-warren-buffett;DE000LS9CXM8; 5957.01 ;0.9;0.1
2017-03-25;trendfolge-trading-simplified;DE000LS9BCC5; 5797.41 ;0.92;0.08
2017-03-25;transformation-automotive;DE000LS9KK33; 5751.02 ;0.81;0.19
2017-03-25;valueinvest-nach-warrenbuffet;DE000LS9GCY8; 5736.51 ;0.99;0.01
2017-03-25;bio-health-tech-trading;DE000LS9DLX8; 5458.56 ;0.44;0.56
2017-03-25;nachhaltig-globales-dividenden-wachstum;DE000LS9AZR6; 5453.36 ;0.78;0.22
