date;name;isin;invested_captial;equity;cash
2017-03-25;value-ansatz-mit-deutschen-aktien;DE000LS9APX5; 108417.13 ;0.68;0.32
2017-03-25;antizyklisch-und-diversifiziert;DE000LS9BBT1; 107499.89 ;0.81;0.19
2017-03-25;selectplus;DE000LS9ANN1; 106053.46 ;0.54;0.46
2017-03-25;ki-investor;DE000LS9BLP8; 99386.77 ;0.92;0.08
2017-03-25;chancen-vs-risiken-deutschland;DE000LS9AEZ4; 98803.23 ;0.75;0.25
2017-03-25;szew-grundinvestment;DE000LS9EQQ9; 93750.25 ;0.95;0.05
2017-03-25;sicherheit-und-ruestung;DE000LS9KBZ9; 90253.15 ;0.95;0.05
2017-03-25;bonuszertifikat-werte-kurz;DE000LS9H7C8; 89976.65 ;0.0;0.47
2017-03-25;starke-europaeische-aktien;DE000LS9BWF6; 86588.77 ;0.99;0.01
2017-03-25;ant1-frag-hps-worldwide;DE000LS9BEH0; 86565.06 ;0.38;0.62
2017-03-25;fi-familien-werte-value-garp;DE000LS9DJG7; 86153.12 ;0.98;0.02
2017-03-25;world-s-best-brands;DE000LS9FYT4; 84658.66 ;1.0;0.0
2017-03-25;usa-top-10;DE000LS9BEG2; 84137.74 ;1.01;-0.01
2017-03-25;top-bonus-investment-defensiv;DE000LS9HWV0; 83168.62 ;0.0;0.32
2017-04-01;qualitaet-angelehnt-an-susan-levermann;DE000LS9AJF5; 21436693.88 ;1.0;0.0
2017-04-01;boerse-online-nebenwerte;DE000LS9BLQ6; 9786577.78 ;0.83;0.17
2017-04-01;dach-trading-invest;DE000LS9AVD5; 9652627.04 ;0.3;0.7
2017-04-01;deutscher-mittelstand;DE000LS9CTA1; 5563477.45 ;0.99;0.01
2017-04-01;carpe-diem-aktientrading;DE000LS9HFZ6; 4862455.15 ;0.39;0.61
2017-04-01;rohstoffwerte;DE000LS9JK44; 3121583.67 ;0.83;0.17
2017-04-01;abacus;DE000LS9HZ72; 2723917.56 ;0.27;0.73
2017-04-01;umbrella;DE000LS9AVX3; 2525545.54 ;0.99;0.01
2017-04-01;chancen-suchen-und-finden;DE000LS9BNT6; 1816358.83 ;1.0;0.0
2017-04-01;special-situations;DE000LS9AKJ5; 1814464.25 ;0.94;0.06
2017-04-01;aschenputtell;DE000LS9EUF4; 1412019.26 ;0.97;0.03
2017-04-01;volatrader;DE000LS9CPZ6; 1230201.11 ;0.0;1.0
2017-04-01;quality-fundamental-selection;DE000LS9JLP1; 1049834.92 ;0.7;0.3
2017-04-01;bonusertrag;DE000LS9H4J0; 1014459.57 ;0.0;0.86
2017-04-01;uro-am-sonntag-var-strategie;DE000LS9HDH9; 974166.86 ;0.99;0.01
2017-04-01;ausis-gold-silber-minen;DE000LS9HUY8; 930774.35 ;0.98;0.02
2017-04-01;financialist;DE000LS9CUY9; 880864.33 ;1.0;0.0
2017-04-01;unterbewertete-marken-aktien-wachstum;DE000LS9AGH7; 729347.20 ;0.85;0.15
2017-04-01;fundamental-unterbewertete-aktien;DE000LS9ADM4; 691306.53 ;0.82;0.18
2017-04-01;top-global-brands;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;aktien-yeah;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;pr1me-vv-folio-global;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;goldesel-investing;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;global-best-equity-t-p-2;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;boerse-online-silicon-valley;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;etf-werte-des-icax;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;augmented-und-virtual-reality;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;trendfolge-strategie-2014;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;investmentfox-nebenwerte;DE000LS9CHS8; 668300.55 ;1.0;0.0
